# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.250250816345214844e+00 9.491976737976074219e+00 7.166926264762878418e-01
1.000000000000000000e+03 1.565123915672302246e+00 1.600596785545349121e+00 5.259876325726509094e-02
2.000000000000000000e+03 1.759953983128070831e-02 1.734612509608268738e-02 1.308677531778812408e-02
3.000000000000000000e+03 9.678049013018608093e-03 9.737516753375530243e-03 2.179395593702793121e-02
4.000000000000000000e+03 8.522053249180316925e-03 8.652308955788612366e-03 2.557362057268619537e-02
5.000000000000000000e+03 8.974554017186164856e-03 9.199515916407108307e-03 5.413275212049484253e-02
6.000000000000000000e+03 2.105582971125841141e-03 2.299832645803689957e-03 4.302705638110637665e-03
7.000000000000000000e+03 1.021155249327421188e-02 1.052083726972341537e-02 6.445360183715820312e-02
8.000000000000000000e+03 6.222917232662439346e-03 6.450823508203029633e-03 2.273501455783843994e-02
9.000000000000000000e+03 4.700975958257913589e-03 4.914305638521909714e-03 4.447682946920394897e-02
1.000000000000000000e+04 1.145793823525309563e-03 1.331005478277802467e-03 4.796550609171390533e-03
1.100000000000000000e+04 3.130584256723523140e-03 3.325451863929629326e-03 2.972195670008659363e-02
1.200000000000000000e+04 4.423632752150297165e-03 4.558696411550045013e-03 1.360968500375747681e-02
1.300000000000000000e+04 7.867375388741493225e-04 9.176742751151323318e-04 3.429001197218894958e-03
1.400000000000000000e+04 2.196409273892641068e-03 2.322188578546047211e-03 3.163113445043563843e-02
1.500000000000000000e+04 2.180534880608320236e-03 2.267403062433004379e-03 2.949862508103251457e-03
1.600000000000000000e+04 6.492840475402772427e-04 7.202645647339522839e-04 1.966559095308184624e-03
1.700000000000000000e+04 7.269271300174295902e-04 7.886185776442289352e-04 8.996794000267982483e-03
1.800000000000000000e+04 1.019803108647465706e-03 1.065360149368643761e-03 1.395025663077831268e-02
1.900000000000000000e+04 4.348190966993570328e-03 4.395417403429746628e-03 7.277910597622394562e-03
2.000000000000000000e+04 9.913948597386479378e-04 1.047182129696011543e-03 1.416177581995725632e-02
